id,name,type,tactics,description,severity,cvss_score,cvss_vector
T9404,TTP-192,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 192.,high,,
CVE-2023-7704,CVE-193,CVE,initial-access,Critical vulnerability in software 193 allowing remote exploitation.,critical,8.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2021-4559,CVE-194,CVE,privilege-escalation,Critical vulnerability in software 194 allowing remote exploitation.,high,7.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2022-4313,CVE-195,CVE,initial-access,Critical vulnerability in software 195 allowing remote exploitation.,critical,7.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2020-1513,CVE-196,CVE,initial-access,Critical vulnerability in software 196 allowing remote exploitation.,critical,8.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T4495,TTP-197,TTP,impact,Adversaries may perform malicious activity related to TTP 197.,high,,
T2760,TTP-198,TTP,execution,Adversaries may perform malicious activity related to TTP 198.,critical,,
T3699,TTP-199,TTP,discovery,Adversaries may perform malicious activity related to TTP 199.,high,,
CVE-2022-2593,CVE-200,CVE,privilege-escalation,Critical vulnerability in software 200 allowing remote exploitation.,critical,9.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T1588,TTP-201,TTP,execution,Adversaries may perform malicious activity related to TTP 201.,high,,
T3776,TTP-202,TTP,impact,Adversaries may perform malicious activity related to TTP 202.,high,,
CVE-2022-6415,CVE-203,CVE,initial-access,Critical vulnerability in software 203 allowing remote exploitation.,critical,8.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2024-5769,CVE-204,CVE,privilege-escalation,Critical vulnerability in software 204 allowing remote exploitation.,high,7.3,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
T2344,TTP-205,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 205.,high,,
T3365,TTP-206,TTP,discovery,Adversaries may perform malicious activity related to TTP 206.,critical,,
CVE-2020-5003,CVE-207,CVE,initial-access,Critical vulnerability in software 207 allowing remote exploitation.,high,9.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T7874,TTP-208,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 208.,critical,,
T1658,TTP-209,TTP,discovery,Adversaries may perform malicious activity related to TTP 209.,critical,,
T8705,TTP-210,TTP,impact,Adversaries may perform malicious activity related to TTP 210.,medium,,
CVE-2024-4936,CVE-211,CVE,initial-access,Critical vulnerability in software 211 allowing remote exploitation.,critical,9.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2022-6800,CVE-212,CVE,privilege-escalation,Critical vulnerability in software 212 allowing remote exploitation.,high,8.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T9699,TTP-213,TTP,persistence,Adversaries may perform malicious activity related to TTP 213.,high,,
CVE-2022-7470,CVE-214,CVE,initial-access,Critical vulnerability in software 214 allowing remote exploitation.,high,9.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T3764,TTP-215,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 215.,high,,
CVE-2025-8862,CVE-216,CVE,privilege-escalation,Critical vulnerability in software 216 allowing remote exploitation.,high,9.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2022-9850,CVE-217,CVE,privilege-escalation,Critical vulnerability in software 217 allowing remote exploitation.,high,8.8,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2020-7609,CVE-218,CVE,privilege-escalation,Critical vulnerability in software 218 allowing remote exploitation.,critical,9.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T2697,TTP-219,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 219.,high,,
CVE-2024-7476,CVE-220,CVE,initial-access,Critical vulnerability in software 220 allowing remote exploitation.,critical,8.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2021-7433,CVE-221,CVE,privilege-escalation,Critical vulnerability in software 221 allowing remote exploitation.,critical,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2022-1977,CVE-222,CVE,privilege-escalation,Critical vulnerability in software 222 allowing remote exploitation.,critical,9.9,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2025-1434,CVE-223,CVE,execution,Critical vulnerability in software 223 allowing remote exploitation.,critical,9.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2021-6596,CVE-224,CVE,initial-access,Critical vulnerability in software 224 allowing remote exploitation.,high,8.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
T2626,TTP-225,TTP,execution,Adversaries may perform malicious activity related to TTP 225.,high,,
CVE-2020-5921,CVE-226,CVE,execution,Critical vulnerability in software 226 allowing remote exploitation.,high,8.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T4558,TTP-227,TTP,impact,Adversaries may perform malicious activity related to TTP 227.,medium,,
CVE-2020-7882,CVE-228,CVE,privilege-escalation,Critical vulnerability in software 228 allowing remote exploitation.,critical,9.3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2025-6250,CVE-229,CVE,privilege-escalation,Critical vulnerability in software 229 allowing remote exploitation.,critical,7.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2024-1054,CVE-230,CVE,privilege-escalation,Critical vulnerability in software 230 allowing remote exploitation.,high,8.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2021-6917,CVE-231,CVE,initial-access,Critical vulnerability in software 231 allowing remote exploitation.,high,9.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T7711,TTP-232,TTP,execution,Adversaries may perform malicious activity related to TTP 232.,high,,
T4396,TTP-233,TTP,discovery,Adversaries may perform malicious activity related to TTP 233.,high,,
T9325,TTP-234,TTP,execution,Adversaries may perform malicious activity related to TTP 234.,critical,,
CVE-2022-3817,CVE-235,CVE,initial-access,Critical vulnerability in software 235 allowing remote exploitation.,high,9.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2020-9526,CVE-236,CVE,execution,Critical vulnerability in software 236 allowing remote exploitation.,high,8.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2022-5832,CVE-237,CVE,initial-access,Critical vulnerability in software 237 allowing remote exploitation.,high,8.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T5151,TTP-238,TTP,discovery,Adversaries may perform malicious activity related to TTP 238.,high,,
CVE-2021-7357,CVE-239,CVE,privilege-escalation,Critical vulnerability in software 239 allowing remote exploitation.,high,9.8,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
T9797,TTP-240,TTP,execution,Adversaries may perform malicious activity related to TTP 240.,critical,,
T1128,TTP-241,TTP,impact,Adversaries may perform malicious activity related to TTP 241.,critical,,
CVE-2024-1241,CVE-242,CVE,initial-access,Critical vulnerability in software 242 allowing remote exploitation.,critical,8.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2020-8697,CVE-243,CVE,initial-access,Critical vulnerability in software 243 allowing remote exploitation.,critical,7.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2022-1012,CVE-244,CVE,privilege-escalation,Critical vulnerability in software 244 allowing remote exploitation.,high,7.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T8810,TTP-245,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 245.,critical,,
T3715,TTP-246,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 246.,critical,,
CVE-2022-9861,CVE-247,CVE,execution,Critical vulnerability in software 247 allowing remote exploitation.,high,7.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T8154,TTP-248,TTP,discovery,Adversaries may perform malicious activity related to TTP 248.,high,,
T6144,TTP-249,TTP,discovery,Adversaries may perform malicious activity related to TTP 249.,medium,,
CVE-2024-6405,CVE-250,CVE,initial-access,Critical vulnerability in software 250 allowing remote exploitation.,high,7.8,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2024-7888,CVE-251,CVE,initial-access,Critical vulnerability in software 251 allowing remote exploitation.,high,7.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2024-9019,CVE-252,CVE,privilege-escalation,Critical vulnerability in software 252 allowing remote exploitation.,high,9.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2021-2671,CVE-253,CVE,execution,Critical vulnerability in software 253 allowing remote exploitation.,high,7.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2025-4631,CVE-254,CVE,execution,Critical vulnerability in software 254 allowing remote exploitation.,critical,8.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T7559,TTP-255,TTP,impact,Adversaries may perform malicious activity related to TTP 255.,high,,
CVE-2022-4117,CVE-256,CVE,privilege-escalation,Critical vulnerability in software 256 allowing remote exploitation.,high,8.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2025-9261,CVE-257,CVE,initial-access,Critical vulnerability in software 257 allowing remote exploitation.,high,8.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T8533,TTP-258,TTP,discovery,Adversaries may perform malicious activity related to TTP 258.,medium,,
T7355,TTP-259,TTP,persistence,Adversaries may perform malicious activity related to TTP 259.,critical,,
CVE-2021-2629,CVE-260,CVE,execution,Critical vulnerability in software 260 allowing remote exploitation.,critical,9.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T6868,TTP-261,TTP,impact,Adversaries may perform malicious activity related to TTP 261.,medium,,
T3848,TTP-262,TTP,persistence,Adversaries may perform malicious activity related to TTP 262.,medium,,
T9331,TTP-263,TTP,execution,Adversaries may perform malicious activity related to TTP 263.,high,,
CVE-2021-6281,CVE-264,CVE,initial-access,Critical vulnerability in software 264 allowing remote exploitation.,high,8.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2025-3301,CVE-265,CVE,execution,Critical vulnerability in software 265 allowing remote exploitation.,critical,8.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T7144,TTP-266,TTP,discovery,Adversaries may perform malicious activity related to TTP 266.,critical,,
T6851,TTP-267,TTP,discovery,Adversaries may perform malicious activity related to TTP 267.,high,,
T5608,TTP-268,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 268.,medium,,
CVE-2022-1301,CVE-269,CVE,privilege-escalation,Critical vulnerability in software 269 allowing remote exploitation.,high,9.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T5465,TTP-270,TTP,persistence,Adversaries may perform malicious activity related to TTP 270.,medium,,
T5643,TTP-271,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 271.,medium,,
CVE-2022-2291,CVE-272,CVE,execution,Critical vulnerability in software 272 allowing remote exploitation.,high,8.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2020-9732,CVE-273,CVE,initial-access,Critical vulnerability in software 273 allowing remote exploitation.,critical,8.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2020-1855,CVE-274,CVE,privilege-escalation,Critical vulnerability in software 274 allowing remote exploitation.,critical,9.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2025-7179,CVE-275,CVE,execution,Critical vulnerability in software 275 allowing remote exploitation.,critical,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2021-9210,CVE-276,CVE,privilege-escalation,Critical vulnerability in software 276 allowing remote exploitation.,high,8.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T7641,TTP-277,TTP,discovery,Adversaries may perform malicious activity related to TTP 277.,critical,,
CVE-2021-2739,CVE-278,CVE,execution,Critical vulnerability in software 278 allowing remote exploitation.,high,7.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T2271,TTP-279,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 279.,high,,
CVE-2021-4930,CVE-280,CVE,initial-access,Critical vulnerability in software 280 allowing remote exploitation.,critical,8.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T5933,TTP-281,TTP,persistence,Adversaries may perform malicious activity related to TTP 281.,critical,,
T3412,TTP-282,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 282.,medium,,
CVE-2023-1352,CVE-283,CVE,execution,Critical vulnerability in software 283 allowing remote exploitation.,high,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2024-8863,CVE-284,CVE,privilege-escalation,Critical vulnerability in software 284 allowing remote exploitation.,critical,9.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2023-2730,CVE-285,CVE,execution,Critical vulnerability in software 285 allowing remote exploitation.,critical,9.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2025-8472,CVE-286,CVE,initial-access,Critical vulnerability in software 286 allowing remote exploitation.,high,9.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T6534,TTP-287,TTP,discovery,Adversaries may perform malicious activity related to TTP 287.,high,,
T5733,TTP-288,TTP,discovery,Adversaries may perform malicious activity related to TTP 288.,medium,,
CVE-2020-4975,CVE-289,CVE,privilege-escalation,Critical vulnerability in software 289 allowing remote exploitation.,critical,9.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
T8750,TTP-290,TTP,persistence,Adversaries may perform malicious activity related to TTP 290.,critical,,
T1076,TTP-291,TTP,persistence,Adversaries may perform malicious activity related to TTP 291.,high,,
T2760,TTP-292,TTP,discovery,Adversaries may perform malicious activity related to TTP 292.,critical,,
CVE-2024-7903,CVE-293,CVE,privilege-escalation,Critical vulnerability in software 293 allowing remote exploitation.,high,9.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2022-3475,CVE-294,CVE,privilege-escalation,Critical vulnerability in software 294 allowing remote exploitation.,high,7.4,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T5531,TTP-295,TTP,impact,Adversaries may perform malicious activity related to TTP 295.,medium,,
T3545,TTP-296,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 296.,critical,,
CVE-2023-7120,CVE-297,CVE,privilege-escalation,Critical vulnerability in software 297 allowing remote exploitation.,high,8.9,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2024-7949,CVE-298,CVE,privilege-escalation,Critical vulnerability in software 298 allowing remote exploitation.,critical,7.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
T8105,TTP-299,TTP,persistence,Adversaries may perform malicious activity related to TTP 299.,high,,
T4359,TTP-300,TTP,discovery,Adversaries may perform malicious activity related to TTP 300.,high,,
T6262,TTP-301,TTP,discovery,Adversaries may perform malicious activity related to TTP 301.,critical,,
CVE-2021-4239,CVE-302,CVE,privilege-escalation,Critical vulnerability in software 302 allowing remote exploitation.,critical,7.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2023-5972,CVE-303,CVE,privilege-escalation,Critical vulnerability in software 303 allowing remote exploitation.,critical,8.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2025-8898,CVE-304,CVE,initial-access,Critical vulnerability in software 304 allowing remote exploitation.,critical,9.5,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
T1756,TTP-305,TTP,execution,Adversaries may perform malicious activity related to TTP 305.,medium,,
T8030,TTP-306,TTP,execution,Adversaries may perform malicious activity related to TTP 306.,high,,
CVE-2021-6867,CVE-307,CVE,initial-access,Critical vulnerability in software 307 allowing remote exploitation.,high,8.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2024-3865,CVE-308,CVE,execution,Critical vulnerability in software 308 allowing remote exploitation.,critical,7.8,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2024-7535,CVE-309,CVE,execution,Critical vulnerability in software 309 allowing remote exploitation.,critical,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2025-9804,CVE-310,CVE,privilege-escalation,Critical vulnerability in software 310 allowing remote exploitation.,critical,9.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T9596,TTP-311,TTP,discovery,Adversaries may perform malicious activity related to TTP 311.,critical,,
T2317,TTP-312,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 312.,medium,,
T9113,TTP-313,TTP,execution,Adversaries may perform malicious activity related to TTP 313.,medium,,
CVE-2020-5534,CVE-314,CVE,execution,Critical vulnerability in software 314 allowing remote exploitation.,high,9.5,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T5940,TTP-315,TTP,discovery,Adversaries may perform malicious activity related to TTP 315.,critical,,
CVE-2024-9337,CVE-316,CVE,initial-access,Critical vulnerability in software 316 allowing remote exploitation.,critical,8.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2024-4990,CVE-317,CVE,privilege-escalation,Critical vulnerability in software 317 allowing remote exploitation.,critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2021-2837,CVE-318,CVE,execution,Critical vulnerability in software 318 allowing remote exploitation.,high,9.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T3137,TTP-319,TTP,persistence,Adversaries may perform malicious activity related to TTP 319.,high,,
T4740,TTP-320,TTP,execution,Adversaries may perform malicious activity related to TTP 320.,medium,,
CVE-2025-4559,CVE-321,CVE,privilege-escalation,Critical vulnerability in software 321 allowing remote exploitation.,critical,9.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T3983,TTP-322,TTP,persistence,Adversaries may perform malicious activity related to TTP 322.,critical,,
T2028,TTP-323,TTP,impact,Adversaries may perform malicious activity related to TTP 323.,high,,
CVE-2023-4253,CVE-324,CVE,initial-access,Critical vulnerability in software 324 allowing remote exploitation.,high,9.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2020-6846,CVE-325,CVE,privilege-escalation,Critical vulnerability in software 325 allowing remote exploitation.,critical,8.8,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T5862,TTP-326,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 326.,medium,,
CVE-2023-3063,CVE-327,CVE,initial-access,Critical vulnerability in software 327 allowing remote exploitation.,critical,9.3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T9770,TTP-328,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 328.,medium,,
CVE-2020-7610,CVE-329,CVE,execution,Critical vulnerability in software 329 allowing remote exploitation.,high,7.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2021-4713,CVE-330,CVE,initial-access,Critical vulnerability in software 330 allowing remote exploitation.,high,9.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T6439,TTP-331,TTP,execution,Adversaries may perform malicious activity related to TTP 331.,high,,
CVE-2025-4206,CVE-332,CVE,initial-access,Critical vulnerability in software 332 allowing remote exploitation.,critical,7.4,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2023-1828,CVE-333,CVE,privilege-escalation,Critical vulnerability in software 333 allowing remote exploitation.,critical,8.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2021-7872,CVE-334,CVE,initial-access,Critical vulnerability in software 334 allowing remote exploitation.,high,9.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2021-9005,CVE-335,CVE,execution,Critical vulnerability in software 335 allowing remote exploitation.,critical,8.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
T6301,TTP-336,TTP,execution,Adversaries may perform malicious activity related to TTP 336.,high,,
CVE-2020-5223,CVE-337,CVE,privilege-escalation,Critical vulnerability in software 337 allowing remote exploitation.,high,8.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2024-9429,CVE-338,CVE,initial-access,Critical vulnerability in software 338 allowing remote exploitation.,high,9.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T1686,TTP-339,TTP,impact,Adversaries may perform malicious activity related to TTP 339.,medium,,
CVE-2021-7369,CVE-340,CVE,initial-access,Critical vulnerability in software 340 allowing remote exploitation.,critical,9.8,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2021-5994,CVE-341,CVE,privilege-escalation,Critical vulnerability in software 341 allowing remote exploitation.,critical,9.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T5824,TTP-342,TTP,persistence,Adversaries may perform malicious activity related to TTP 342.,high,,
CVE-2022-7794,CVE-343,CVE,execution,Critical vulnerability in software 343 allowing remote exploitation.,high,9.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T1876,TTP-344,TTP,discovery,Adversaries may perform malicious activity related to TTP 344.,medium,,
CVE-2021-6427,CVE-345,CVE,execution,Critical vulnerability in software 345 allowing remote exploitation.,critical,7.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
T8216,TTP-346,TTP,impact,Adversaries may perform malicious activity related to TTP 346.,high,,
T6384,TTP-347,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 347.,medium,,
T7525,TTP-348,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 348.,critical,,
CVE-2024-6334,CVE-349,CVE,initial-access,Critical vulnerability in software 349 allowing remote exploitation.,critical,7.9,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T8838,TTP-350,TTP,discovery,Adversaries may perform malicious activity related to TTP 350.,critical,,
CVE-2022-2689,CVE-351,CVE,initial-access,Critical vulnerability in software 351 allowing remote exploitation.,critical,9.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T5088,TTP-352,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 352.,medium,,
CVE-2024-4300,CVE-353,CVE,initial-access,Critical vulnerability in software 353 allowing remote exploitation.,high,9.0,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T4029,TTP-354,TTP,persistence,Adversaries may perform malicious activity related to TTP 354.,medium,,
T8856,TTP-355,TTP,persistence,Adversaries may perform malicious activity related to TTP 355.,medium,,
T6961,TTP-356,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 356.,high,,
T3485,TTP-357,TTP,discovery,Adversaries may perform malicious activity related to TTP 357.,high,,
CVE-2024-3778,CVE-358,CVE,initial-access,Critical vulnerability in software 358 allowing remote exploitation.,critical,8.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
T1113,TTP-359,TTP,execution,Adversaries may perform malicious activity related to TTP 359.,medium,,
CVE-2022-3397,CVE-360,CVE,execution,Critical vulnerability in software 360 allowing remote exploitation.,critical,7.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
T4990,TTP-361,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 361.,critical,,
CVE-2025-1382,CVE-362,CVE,execution,Critical vulnerability in software 362 allowing remote exploitation.,high,9.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T6099,TTP-363,TTP,execution,Adversaries may perform malicious activity related to TTP 363.,medium,,
T7038,TTP-364,TTP,persistence,Adversaries may perform malicious activity related to TTP 364.,medium,,
CVE-2023-1703,CVE-365,CVE,initial-access,Critical vulnerability in software 365 allowing remote exploitation.,critical,7.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T9597,TTP-366,TTP,execution,Adversaries may perform malicious activity related to TTP 366.,high,,
T4942,TTP-367,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 367.,high,,
CVE-2023-5391,CVE-368,CVE,privilege-escalation,Critical vulnerability in software 368 allowing remote exploitation.,critical,8.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
CVE-2021-9739,CVE-369,CVE,privilege-escalation,Critical vulnerability in software 369 allowing remote exploitation.,high,8.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2025-4066,CVE-370,CVE,privilege-escalation,Critical vulnerability in software 370 allowing remote exploitation.,high,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
T8399,TTP-371,TTP,persistence,Adversaries may perform malicious activity related to TTP 371.,critical,,
T5464,TTP-372,TTP,execution,Adversaries may perform malicious activity related to TTP 372.,medium,,
T7520,TTP-373,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 373.,high,,
T2512,TTP-374,TTP,impact,Adversaries may perform malicious activity related to TTP 374.,high,,
CVE-2025-2913,CVE-375,CVE,initial-access,Critical vulnerability in software 375 allowing remote exploitation.,critical,7.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T5619,TTP-376,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 376.,medium,,
T1637,TTP-377,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 377.,high,,
CVE-2024-6810,CVE-378,CVE,execution,Critical vulnerability in software 378 allowing remote exploitation.,high,9.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T7537,TTP-379,TTP,impact,Adversaries may perform malicious activity related to TTP 379.,critical,,
