source,target,type,impact_score,mitigation
T8528,IT-04769,TARGETS,0.62,Isoler IT-04769 et appliquer les correctifs pour T8528.
CVE-2024-1145,IT-08525,TARGETS,0.95,Isoler IT-08525 et appliquer les correctifs pour CVE-2024-1145.
T4040,IT-00472,TARGETS,0.95,Isoler IT-00472 et appliquer les correctifs pour T4040.
T4153,IT-08283,TARGETS,0.53,Isoler IT-08283 et appliquer les correctifs pour T4153.
CVE-2021-2837,IT-03711,TARGETS,0.52,Isoler IT-03711 et appliquer les correctifs pour CVE-2021-2837.
CVE-2023-1240,IT-06593,TARGETS,0.76,Isoler IT-06593 et appliquer les correctifs pour CVE-2023-1240.
CVE-2020-2214,IT-01829,TARGETS,0.84,Isoler IT-01829 et appliquer les correctifs pour CVE-2020-2214.
T5593,IT-02029,TARGETS,0.75,Isoler IT-02029 et appliquer les correctifs pour T5593.
T1199,IT-02236,TARGETS,0.99,Isoler IT-02236 et appliquer les correctifs pour T1199.
T6323,IT-09875,TARGETS,0.68,Isoler IT-09875 et appliquer les correctifs pour T6323.
T7152,IT-01660,TARGETS,0.56,Isoler IT-01660 et appliquer les correctifs pour T7152.
T2838,IT-08889,TARGETS,0.73,Isoler IT-08889 et appliquer les correctifs pour T2838.
CVE-2020-2478,IT-05757,TARGETS,0.79,Isoler IT-05757 et appliquer les correctifs pour CVE-2020-2478.
T4321,IT-08469,TARGETS,0.91,Isoler IT-08469 et appliquer les correctifs pour T4321.
T7279,IT-00166,TARGETS,0.68,Isoler IT-00166 et appliquer les correctifs pour T7279.
CVE-2025-9787,IT-05652,TARGETS,0.92,Isoler IT-05652 et appliquer les correctifs pour CVE-2025-9787.
CVE-2022-3817,IT-06978,TARGETS,0.65,Isoler IT-06978 et appliquer les correctifs pour CVE-2022-3817.
T6420,IT-04148,TARGETS,0.98,Isoler IT-04148 et appliquer les correctifs pour T6420.
CVE-2023-7704,IT-07581,TARGETS,0.62,Isoler IT-07581 et appliquer les correctifs pour CVE-2023-7704.
T3772,IT-07419,TARGETS,0.89,Isoler IT-07419 et appliquer les correctifs pour T3772.
CVE-2022-6297,IT-07050,TARGETS,0.55,Isoler IT-07050 et appliquer les correctifs pour CVE-2022-6297.
T2978,IT-02834,TARGETS,0.96,Isoler IT-02834 et appliquer les correctifs pour T2978.
CVE-2025-5360,IT-05825,TARGETS,0.67,Isoler IT-05825 et appliquer les correctifs pour CVE-2025-5360.
T6242,IT-07401,TARGETS,0.76,Isoler IT-07401 et appliquer les correctifs pour T6242.
CVE-2025-9261,IT-05674,TARGETS,0.96,Isoler IT-05674 et appliquer les correctifs pour CVE-2025-9261.
T9256,IT-03106,TARGETS,0.55,Isoler IT-03106 et appliquer les correctifs pour T9256.
CVE-2021-1922,IT-08800,TARGETS,0.96,Isoler IT-08800 et appliquer les correctifs pour CVE-2021-1922.
T1267,IT-07328,TARGETS,0.76,Isoler IT-07328 et appliquer les correctifs pour T1267.
CVE-2023-2315,IT-09123,TARGETS,0.6,Isoler IT-09123 et appliquer les correctifs pour CVE-2023-2315.
T4129,IT-04158,TARGETS,0.53,Isoler IT-04158 et appliquer les correctifs pour T4129.
CVE-2025-8585,IT-09052,TARGETS,0.6,Isoler IT-09052 et appliquer les correctifs pour CVE-2025-8585.
T2130,IT-09897,TARGETS,0.66,Isoler IT-09897 et appliquer les correctifs pour T2130.
CVE-2020-5608,IT-07338,TARGETS,0.65,Isoler IT-07338 et appliquer les correctifs pour CVE-2020-5608.
CVE-2020-7009,IT-09768,TARGETS,0.79,Isoler IT-09768 et appliquer les correctifs pour CVE-2020-7009.
T2696,IT-00887,TARGETS,0.52,Isoler IT-00887 et appliquer les correctifs pour T2696.
CVE-2022-6231,IT-09403,TARGETS,0.57,Isoler IT-09403 et appliquer les correctifs pour CVE-2022-6231.
T8537,IT-07695,TARGETS,0.81,Isoler IT-07695 et appliquer les correctifs pour T8537.
T2089,IT-07045,TARGETS,0.73,Isoler IT-07045 et appliquer les correctifs pour T2089.
T6242,IT-03741,TARGETS,0.9,Isoler IT-03741 et appliquer les correctifs pour T6242.
T2688,IT-02753,TARGETS,0.73,Isoler IT-02753 et appliquer les correctifs pour T2688.
T1358,IT-06269,TARGETS,0.87,Isoler IT-06269 et appliquer les correctifs pour T1358.
T3122,IT-04418,TARGETS,0.87,Isoler IT-04418 et appliquer les correctifs pour T3122.
CVE-2020-6394,IT-02325,TARGETS,0.66,Isoler IT-02325 et appliquer les correctifs pour CVE-2020-6394.
CVE-2022-3988,IT-08975,TARGETS,0.6,Isoler IT-08975 et appliquer les correctifs pour CVE-2022-3988.
CVE-2021-9005,IT-04630,TARGETS,0.81,Isoler IT-04630 et appliquer les correctifs pour CVE-2021-9005.
T1156,IT-08633,TARGETS,0.75,Isoler IT-08633 et appliquer les correctifs pour T1156.
CVE-2024-7432,IT-07803,TARGETS,0.64,Isoler IT-07803 et appliquer les correctifs pour CVE-2024-7432.
T3835,IT-03919,TARGETS,0.92,Isoler IT-03919 et appliquer les correctifs pour T3835.
CVE-2025-4559,IT-01781,TARGETS,0.91,Isoler IT-01781 et appliquer les correctifs pour CVE-2025-4559.
T9104,IT-00079,TARGETS,0.52,Isoler IT-00079 et appliquer les correctifs pour T9104.
CVE-2022-7700,IT-00215,TARGETS,0.76,Isoler IT-00215 et appliquer les correctifs pour CVE-2022-7700.
T1130,IT-02321,TARGETS,0.57,Isoler IT-02321 et appliquer les correctifs pour T1130.
CVE-2024-5137,IT-00905,TARGETS,0.51,Isoler IT-00905 et appliquer les correctifs pour CVE-2024-5137.
T8556,IT-07038,TARGETS,0.66,Isoler IT-07038 et appliquer les correctifs pour T8556.
CVE-2024-5205,IT-04794,TARGETS,0.89,Isoler IT-04794 et appliquer les correctifs pour CVE-2024-5205.
T3665,IT-07123,TARGETS,0.85,Isoler IT-07123 et appliquer les correctifs pour T3665.
CVE-2024-3865,IT-08900,TARGETS,0.52,Isoler IT-08900 et appliquer les correctifs pour CVE-2024-3865.
T5743,IT-05764,TARGETS,0.98,Isoler IT-05764 et appliquer les correctifs pour T5743.
CVE-2023-7002,IT-04249,TARGETS,0.73,Isoler IT-04249 et appliquer les correctifs pour CVE-2023-7002.
T8204,IT-09313,TARGETS,0.57,Isoler IT-09313 et appliquer les correctifs pour T8204.
CVE-2020-3954,IT-00111,TARGETS,0.85,Isoler IT-00111 et appliquer les correctifs pour CVE-2020-3954.
CVE-2025-7053,IT-00075,TARGETS,0.98,Isoler IT-00075 et appliquer les correctifs pour CVE-2025-7053.
T6269,IT-02832,TARGETS,0.89,Isoler IT-02832 et appliquer les correctifs pour T6269.
CVE-2024-4848,IT-01610,TARGETS,0.95,Isoler IT-01610 et appliquer les correctifs pour CVE-2024-4848.
T3663,IT-01085,TARGETS,0.82,Isoler IT-01085 et appliquer les correctifs pour T3663.
T1097,IT-04006,TARGETS,0.84,Isoler IT-04006 et appliquer les correctifs pour T1097.
CVE-2025-8060,IT-09990,TARGETS,0.77,Isoler IT-09990 et appliquer les correctifs pour CVE-2025-8060.
T4349,IT-08620,TARGETS,0.76,Isoler IT-08620 et appliquer les correctifs pour T4349.
T2411,IT-00508,TARGETS,0.78,Isoler IT-00508 et appliquer les correctifs pour T2411.
CVE-2022-2291,IT-03544,TARGETS,0.66,Isoler IT-03544 et appliquer les correctifs pour CVE-2022-2291.
CVE-2021-7498,IT-04230,TARGETS,0.56,Isoler IT-04230 et appliquer les correctifs pour CVE-2021-7498.
T1562.002,IT-02744,TARGETS,0.81,Isoler IT-02744 et appliquer les correctifs pour T1562.002.
CVE-2022-5713,IT-03971,TARGETS,0.58,Isoler IT-03971 et appliquer les correctifs pour CVE-2022-5713.
CVE-2024-7220,IT-09861,TARGETS,0.76,Isoler IT-09861 et appliquer les correctifs pour CVE-2024-7220.
CVE-2023-4905,IT-03294,TARGETS,0.96,Isoler IT-03294 et appliquer les correctifs pour CVE-2023-4905.
T1156,IT-03520,TARGETS,0.6,Isoler IT-03520 et appliquer les correctifs pour T1156.
CVE-2023-1352,IT-05984,TARGETS,0.91,Isoler IT-05984 et appliquer les correctifs pour CVE-2023-1352.
CVE-2023-7362,IT-04371,TARGETS,0.71,Isoler IT-04371 et appliquer les correctifs pour CVE-2023-7362.
T6296,IT-00040,TARGETS,0.64,Isoler IT-00040 et appliquer les correctifs pour T6296.
T1622,IT-09126,TARGETS,0.75,Isoler IT-09126 et appliquer les correctifs pour T1622.
T1585,IT-02138,TARGETS,0.54,Isoler IT-02138 et appliquer les correctifs pour T1585.
T4142,IT-01789,TARGETS,0.62,Isoler IT-01789 et appliquer les correctifs pour T4142.
CVE-2023-6453,IT-08584,TARGETS,0.8,Isoler IT-08584 et appliquer les correctifs pour CVE-2023-6453.
CVE-2022-1497,IT-04925,TARGETS,0.55,Isoler IT-04925 et appliquer les correctifs pour CVE-2022-1497.
T6255,IT-00473,TARGETS,0.68,Isoler IT-00473 et appliquer les correctifs pour T6255.
T3075,IT-09549,TARGETS,0.7,Isoler IT-09549 et appliquer les correctifs pour T3075.
T1130,IT-06776,TARGETS,0.74,Isoler IT-06776 et appliquer les correctifs pour T1130.
T8362,IT-09498,TARGETS,0.51,Isoler IT-09498 et appliquer les correctifs pour T8362.
T9813,IT-09809,TARGETS,0.71,Isoler IT-09809 et appliquer les correctifs pour T9813.
T8712,IT-07965,TARGETS,0.77,Isoler IT-07965 et appliquer les correctifs pour T8712.
T5831,IT-09509,TARGETS,0.64,Isoler IT-09509 et appliquer les correctifs pour T5831.
T1906,IT-01278,TARGETS,0.9,Isoler IT-01278 et appliquer les correctifs pour T1906.
CVE-2020-7647,IT-03224,TARGETS,0.96,Isoler IT-03224 et appliquer les correctifs pour CVE-2020-7647.
T7216,IT-08152,TARGETS,0.55,Isoler IT-08152 et appliquer les correctifs pour T7216.
CVE-2021-4239,IT-00630,TARGETS,0.54,Isoler IT-00630 et appliquer les correctifs pour CVE-2021-4239.
T1903,IT-07180,TARGETS,0.57,Isoler IT-07180 et appliquer les correctifs pour T1903.
CVE-2023-1736,IT-00526,TARGETS,0.79,Isoler IT-00526 et appliquer les correctifs pour CVE-2023-1736.
T3287,IT-03841,TARGETS,0.92,Isoler IT-03841 et appliquer les correctifs pour T3287.
T5336,IT-06781,TARGETS,0.63,Isoler IT-06781 et appliquer les correctifs pour T5336.
CVE-2021-6479,IT-07851,TARGETS,0.81,Isoler IT-07851 et appliquer les correctifs pour CVE-2021-6479.
T2969,IT-09983,TARGETS,1.0,Isoler IT-09983 et appliquer les correctifs pour T2969.
T5824,IT-08955,TARGETS,0.83,Isoler IT-08955 et appliquer les correctifs pour T5824.
CVE-2021-1927,IT-03811,TARGETS,0.75,Isoler IT-03811 et appliquer les correctifs pour CVE-2021-1927.
CVE-2025-8793,IT-02363,TARGETS,0.9,Isoler IT-02363 et appliquer les correctifs pour CVE-2025-8793.
CVE-2021-8045,IT-08735,TARGETS,0.66,Isoler IT-08735 et appliquer les correctifs pour CVE-2021-8045.
T9797,IT-03334,TARGETS,0.74,Isoler IT-03334 et appliquer les correctifs pour T9797.
T8682,IT-07831,TARGETS,0.83,Isoler IT-07831 et appliquer les correctifs pour T8682.
CVE-2024-7218,IT-01964,TARGETS,0.7,Isoler IT-01964 et appliquer les correctifs pour CVE-2024-7218.
CVE-2024-6405,IT-07813,TARGETS,0.63,Isoler IT-07813 et appliquer les correctifs pour CVE-2024-6405.
CVE-2019-11510,IT-00423,TARGETS,0.65,Isoler IT-00423 et appliquer les correctifs pour CVE-2019-11510.
T2861,IT-04544,TARGETS,0.93,Isoler IT-04544 et appliquer les correctifs pour T2861.
T8474,IT-07452,TARGETS,0.78,Isoler IT-07452 et appliquer les correctifs pour T8474.
T2325,IT-09200,TARGETS,0.89,Isoler IT-09200 et appliquer les correctifs pour T2325.
T6344,IT-03236,TARGETS,0.98,Isoler IT-03236 et appliquer les correctifs pour T6344.
CVE-2025-7262,IT-00019,TARGETS,0.99,Isoler IT-00019 et appliquer les correctifs pour CVE-2025-7262.
T3715,IT-02329,TARGETS,0.86,Isoler IT-02329 et appliquer les correctifs pour T3715.
T1903,IT-07605,TARGETS,0.65,Isoler IT-07605 et appliquer les correctifs pour T1903.
CVE-2021-3283,IT-08929,TARGETS,0.68,Isoler IT-08929 et appliquer les correctifs pour CVE-2021-3283.
CVE-2025-5360,IT-07418,TARGETS,0.98,Isoler IT-07418 et appliquer les correctifs pour CVE-2025-5360.
CVE-2023-5251,IT-02100,TARGETS,0.51,Isoler IT-02100 et appliquer les correctifs pour CVE-2023-5251.
CVE-2023-3486,IT-07518,TARGETS,0.76,Isoler IT-07518 et appliquer les correctifs pour CVE-2023-3486.
CVE-2023-6858,IT-07217,TARGETS,0.95,Isoler IT-07217 et appliquer les correctifs pour CVE-2023-6858.
T6256,IT-01239,TARGETS,0.55,Isoler IT-01239 et appliquer les correctifs pour T6256.
CVE-2025-1057,IT-03696,TARGETS,0.52,Isoler IT-03696 et appliquer les correctifs pour CVE-2025-1057.
T5035,IT-06726,TARGETS,0.93,Isoler IT-06726 et appliquer les correctifs pour T5035.
CVE-2024-5606,IT-08585,TARGETS,0.93,Isoler IT-08585 et appliquer les correctifs pour CVE-2024-5606.
T6269,IT-05098,TARGETS,0.54,Isoler IT-05098 et appliquer les correctifs pour T6269.
T6344,IT-02316,TARGETS,0.9,Isoler IT-02316 et appliquer les correctifs pour T6344.
CVE-2024-5559,IT-00930,TARGETS,0.74,Isoler IT-00930 et appliquer les correctifs pour CVE-2024-5559.
CVE-2021-7559,IT-01531,TARGETS,0.71,Isoler IT-01531 et appliquer les correctifs pour CVE-2021-7559.
T7279,IT-07199,TARGETS,0.8,Isoler IT-07199 et appliquer les correctifs pour T7279.
CVE-2024-7940,IT-08721,TARGETS,0.86,Isoler IT-08721 et appliquer les correctifs pour CVE-2024-7940.
CVE-2025-3793,IT-02934,TARGETS,0.8,Isoler IT-02934 et appliquer les correctifs pour CVE-2025-3793.
T6427,IT-09330,TARGETS,0.87,Isoler IT-09330 et appliquer les correctifs pour T6427.
CVE-2024-3778,IT-01318,TARGETS,0.74,Isoler IT-01318 et appliquer les correctifs pour CVE-2024-3778.
CVE-2023-4955,IT-03312,TARGETS,0.61,Isoler IT-03312 et appliquer les correctifs pour CVE-2023-4955.
CVE-2023-3529,IT-08036,TARGETS,0.57,Isoler IT-08036 et appliquer les correctifs pour CVE-2023-3529.
CVE-2023-2044,IT-08058,TARGETS,0.91,Isoler IT-08058 et appliquer les correctifs pour CVE-2023-2044.
CVE-2021-4317,IT-06277,TARGETS,0.7,Isoler IT-06277 et appliquer les correctifs pour CVE-2021-4317.
CVE-2025-2429,IT-01650,TARGETS,0.55,Isoler IT-01650 et appliquer les correctifs pour CVE-2025-2429.
T2592,IT-04890,TARGETS,0.78,Isoler IT-04890 et appliquer les correctifs pour T2592.
CVE-2024-7476,IT-00970,TARGETS,0.98,Isoler IT-00970 et appliquer les correctifs pour CVE-2024-7476.
CVE-2021-6482,IT-03460,TARGETS,0.81,Isoler IT-03460 et appliquer les correctifs pour CVE-2021-6482.
CVE-2022-3988,IT-00925,TARGETS,0.68,Isoler IT-00925 et appliquer les correctifs pour CVE-2022-3988.
T7012,IT-06204,TARGETS,0.54,Isoler IT-06204 et appliquer les correctifs pour T7012.
CVE-2025-7179,IT-06337,TARGETS,0.77,Isoler IT-06337 et appliquer les correctifs pour CVE-2025-7179.
T2411,IT-02088,TARGETS,0.74,Isoler IT-02088 et appliquer les correctifs pour T2411.
T4703,IT-07728,TARGETS,0.56,Isoler IT-07728 et appliquer les correctifs pour T4703.
T2956,IT-05850,TARGETS,0.64,Isoler IT-05850 et appliquer les correctifs pour T2956.
T9402,IT-01039,TARGETS,0.9,Isoler IT-01039 et appliquer les correctifs pour T9402.
T9597,IT-02756,TARGETS,0.89,Isoler IT-02756 et appliquer les correctifs pour T9597.
CVE-2022-3458,IT-03506,TARGETS,0.9,Isoler IT-03506 et appliquer les correctifs pour CVE-2022-3458.
T5665,IT-09734,TARGETS,0.82,Isoler IT-09734 et appliquer les correctifs pour T5665.
CVE-2025-7053,IT-06246,TARGETS,0.66,Isoler IT-06246 et appliquer les correctifs pour CVE-2025-7053.
T6256,IT-01773,TARGETS,0.85,Isoler IT-01773 et appliquer les correctifs pour T6256.
T5464,IT-02098,TARGETS,0.82,Isoler IT-02098 et appliquer les correctifs pour T5464.
CVE-2024-2960,IT-09758,TARGETS,0.81,Isoler IT-09758 et appliquer les correctifs pour CVE-2024-2960.
T3665,IT-03472,TARGETS,0.52,Isoler IT-03472 et appliquer les correctifs pour T3665.
CVE-2025-6050,IT-04595,TARGETS,0.99,Isoler IT-04595 et appliquer les correctifs pour CVE-2025-6050.
CVE-2023-3529,IT-04217,TARGETS,0.96,Isoler IT-04217 et appliquer les correctifs pour CVE-2023-3529.
T5799,IT-08078,TARGETS,0.52,Isoler IT-08078 et appliquer les correctifs pour T5799.
CVE-2025-8634,IT-08507,TARGETS,0.8,Isoler IT-08507 et appliquer les correctifs pour CVE-2025-8634.
T9813,IT-00740,TARGETS,0.89,Isoler IT-00740 et appliquer les correctifs pour T9813.
T1486,IT-08339,TARGETS,0.99,Isoler IT-08339 et appliquer les correctifs pour T1486.
CVE-2025-6667,IT-00339,TARGETS,0.72,Isoler IT-00339 et appliquer les correctifs pour CVE-2025-6667.
CVE-2025-2143,IT-06524,TARGETS,0.83,Isoler IT-06524 et appliquer les correctifs pour CVE-2025-2143.
T1903,IT-05125,TARGETS,1.0,Isoler IT-05125 et appliquer les correctifs pour T1903.
CVE-2021-7369,IT-09382,TARGETS,0.55,Isoler IT-09382 et appliquer les correctifs pour CVE-2021-7369.
T7012,IT-09696,TARGETS,0.58,Isoler IT-09696 et appliquer les correctifs pour T7012.
CVE-2025-9634,IT-01156,TARGETS,0.85,Isoler IT-01156 et appliquer les correctifs pour CVE-2025-9634.
CVE-2023-8243,IT-09150,TARGETS,0.74,Isoler IT-09150 et appliquer les correctifs pour CVE-2023-8243.
T2512,IT-00558,TARGETS,0.94,Isoler IT-00558 et appliquer les correctifs pour T2512.
T4784,IT-08247,TARGETS,0.71,Isoler IT-08247 et appliquer les correctifs pour T4784.
T8856,IT-00481,TARGETS,0.91,Isoler IT-00481 et appliquer les correctifs pour T8856.
T3263,IT-04806,TARGETS,0.56,Isoler IT-04806 et appliquer les correctifs pour T3263.
CVE-2022-1578,IT-05314,TARGETS,0.73,Isoler IT-05314 et appliquer les correctifs pour CVE-2022-1578.
T3082,IT-09608,TARGETS,0.83,Isoler IT-09608 et appliquer les correctifs pour T3082.
CVE-2021-7561,IT-08777,TARGETS,0.95,Isoler IT-08777 et appliquer les correctifs pour CVE-2021-7561.
CVE-2023-5251,IT-04529,TARGETS,0.58,Isoler IT-04529 et appliquer les correctifs pour CVE-2023-5251.
T5340,IT-06642,TARGETS,0.85,Isoler IT-06642 et appliquer les correctifs pour T5340.
CVE-2023-2315,IT-01132,TARGETS,0.9,Isoler IT-01132 et appliquer les correctifs pour CVE-2023-2315.
T6294,IT-03006,TARGETS,0.79,Isoler IT-03006 et appliquer les correctifs pour T6294.
CVE-2025-2143,IT-02879,TARGETS,0.67,Isoler IT-02879 et appliquer les correctifs pour CVE-2025-2143.
T1144,IT-07915,TARGETS,0.85,Isoler IT-07915 et appliquer les correctifs pour T1144.
CVE-2023-3371,IT-09605,TARGETS,0.88,Isoler IT-09605 et appliquer les correctifs pour CVE-2023-3371.
CVE-2025-3793,IT-04418,TARGETS,0.85,Isoler IT-04418 et appliquer les correctifs pour CVE-2025-3793.
CVE-2025-2360,IT-06819,TARGETS,0.95,Isoler IT-06819 et appliquer les correctifs pour CVE-2025-2360.
CVE-2021-4514,IT-09783,TARGETS,0.53,Isoler IT-09783 et appliquer les correctifs pour CVE-2021-4514.
CVE-2022-4283,IT-07376,TARGETS,0.7,Isoler IT-07376 et appliquer les correctifs pour CVE-2022-4283.
CVE-2022-9564,IT-06407,TARGETS,0.6,Isoler IT-06407 et appliquer les correctifs pour CVE-2022-9564.
CVE-2020-8697,IT-09126,TARGETS,0.68,Isoler IT-09126 et appliquer les correctifs pour CVE-2020-8697.
CVE-2023-7303,IT-07263,TARGETS,0.89,Isoler IT-07263 et appliquer les correctifs pour CVE-2023-7303.
CVE-2020-1513,IT-00845,TARGETS,0.54,Isoler IT-00845 et appliquer les correctifs pour CVE-2020-1513.
T7887,IT-05976,TARGETS,0.95,Isoler IT-05976 et appliquer les correctifs pour T7887.
CVE-2024-3898,IT-03410,TARGETS,0.91,Isoler IT-03410 et appliquer les correctifs pour CVE-2024-3898.
CVE-2024-7889,IT-02239,TARGETS,0.53,Isoler IT-02239 et appliquer les correctifs pour CVE-2024-7889.
T5599,IT-08747,TARGETS,0.83,Isoler IT-08747 et appliquer les correctifs pour T5599.
T4118,IT-01228,TARGETS,0.86,Isoler IT-01228 et appliquer les correctifs pour T4118.
T7915,IT-07916,TARGETS,0.83,Isoler IT-07916 et appliquer les correctifs pour T7915.
CVE-2025-2429,IT-03751,TARGETS,0.95,Isoler IT-03751 et appliquer les correctifs pour CVE-2025-2429.
T9711,IT-04827,TARGETS,0.62,Isoler IT-04827 et appliquer les correctifs pour T9711.
T2129,IT-01540,TARGETS,0.95,Isoler IT-01540 et appliquer les correctifs pour T2129.
CVE-2023-4208,IT-05266,TARGETS,0.87,Isoler IT-05266 et appliquer les correctifs pour CVE-2023-4208.
T8399,IT-02154,TARGETS,0.6,Isoler IT-02154 et appliquer les correctifs pour T8399.
CVE-2022-6003,IT-04802,TARGETS,0.72,Isoler IT-04802 et appliquer les correctifs pour CVE-2022-6003.
CVE-2025-7174,IT-01916,TARGETS,0.86,Isoler IT-01916 et appliquer les correctifs pour CVE-2025-7174.
CVE-2020-8697,IT-09748,TARGETS,0.59,Isoler IT-09748 et appliquer les correctifs pour CVE-2020-8697.
CVE-2025-6563,IT-00043,TARGETS,0.85,Isoler IT-00043 et appliquer les correctifs pour CVE-2025-6563.
T3029,IT-00424,TARGETS,0.97,Isoler IT-00424 et appliquer les correctifs pour T3029.
CVE-2022-9768,IT-01980,TARGETS,0.68,Isoler IT-01980 et appliquer les correctifs pour CVE-2022-9768.
T2317,IT-09190,TARGETS,0.71,Isoler IT-09190 et appliquer les correctifs pour T2317.
CVE-2025-3249,IT-05380,TARGETS,0.55,Isoler IT-05380 et appliquer les correctifs pour CVE-2025-3249.
T4130,IT-05704,TARGETS,0.78,Isoler IT-05704 et appliquer les correctifs pour T4130.
CVE-2020-2788,IT-07607,TARGETS,0.75,Isoler IT-07607 et appliquer les correctifs pour CVE-2020-2788.
CVE-2025-8226,IT-08430,TARGETS,0.51,Isoler IT-08430 et appliquer les correctifs pour CVE-2025-8226.
T9701,IT-01826,TARGETS,0.51,Isoler IT-01826 et appliquer les correctifs pour T9701.
T7893,IT-04854,TARGETS,0.72,Isoler IT-04854 et appliquer les correctifs pour T7893.
T8810,IT-00905,TARGETS,0.58,Isoler IT-00905 et appliquer les correctifs pour T8810.
T7995,IT-06608,TARGETS,0.95,Isoler IT-06608 et appliquer les correctifs pour T7995.
T1340,IT-01274,TARGETS,0.86,Isoler IT-01274 et appliquer les correctifs pour T1340.
T9749,IT-09239,TARGETS,0.87,Isoler IT-09239 et appliquer les correctifs pour T9749.
T2111,IT-07266,TARGETS,0.82,Isoler IT-07266 et appliquer les correctifs pour T2111.
T6301,IT-07258,TARGETS,0.52,Isoler IT-07258 et appliquer les correctifs pour T6301.
T8332,IT-07107,TARGETS,0.87,Isoler IT-07107 et appliquer les correctifs pour T8332.
T5340,IT-05631,TARGETS,0.81,Isoler IT-05631 et appliquer les correctifs pour T5340.
CVE-2023-8243,IT-07748,TARGETS,0.77,Isoler IT-07748 et appliquer les correctifs pour CVE-2023-8243.
CVE-2020-3654,IT-04864,TARGETS,0.96,Isoler IT-04864 et appliquer les correctifs pour CVE-2020-3654.
T4359,IT-03882,TARGETS,0.8,Isoler IT-03882 et appliquer les correctifs pour T4359.
CVE-2023-7120,IT-09752,TARGETS,0.66,Isoler IT-09752 et appliquer les correctifs pour CVE-2023-7120.
T1622,IT-07404,TARGETS,0.84,Isoler IT-07404 et appliquer les correctifs pour T1622.
T6291,IT-09247,TARGETS,0.63,Isoler IT-09247 et appliquer les correctifs pour T6291.
CVE-2025-3301,IT-05705,TARGETS,0.8,Isoler IT-05705 et appliquer les correctifs pour CVE-2025-3301.
CVE-2022-3533,IT-04683,TARGETS,0.93,Isoler IT-04683 et appliquer les correctifs pour CVE-2022-3533.
CVE-2024-5137,IT-05435,TARGETS,0.99,Isoler IT-05435 et appliquer les correctifs pour CVE-2024-5137.
T2592,IT-07927,TARGETS,0.68,Isoler IT-07927 et appliquer les correctifs pour T2592.
CVE-2022-8869,IT-01990,TARGETS,0.71,Isoler IT-01990 et appliquer les correctifs pour CVE-2022-8869.
CVE-2024-5159,IT-05805,TARGETS,0.81,Isoler IT-05805 et appliquer les correctifs pour CVE-2024-5159.
T5570,IT-06487,TARGETS,0.56,Isoler IT-06487 et appliquer les correctifs pour T5570.
CVE-2020-9439,IT-08530,TARGETS,0.99,Isoler IT-08530 et appliquer les correctifs pour CVE-2020-9439.
CVE-2022-3490,IT-01615,TARGETS,0.64,Isoler IT-01615 et appliquer les correctifs pour CVE-2022-3490.
T3619,IT-07179,TARGETS,0.66,Isoler IT-07179 et appliquer les correctifs pour T3619.
CVE-2022-7794,IT-07526,TARGETS,0.64,Isoler IT-07526 et appliquer les correctifs pour CVE-2022-7794.
T1356,IT-09542,TARGETS,0.52,Isoler IT-09542 et appliquer les correctifs pour T1356.
CVE-2021-1680,IT-06568,TARGETS,0.56,Isoler IT-06568 et appliquer les correctifs pour CVE-2021-1680.
CVE-2023-8418,IT-08536,TARGETS,0.62,Isoler IT-08536 et appliquer les correctifs pour CVE-2023-8418.
T7038,IT-04011,TARGETS,0.57,Isoler IT-04011 et appliquer les correctifs pour T7038.
T5570,IT-07574,TARGETS,0.64,Isoler IT-07574 et appliquer les correctifs pour T5570.
CVE-2020-7240,IT-04178,TARGETS,0.82,Isoler IT-04178 et appliquer les correctifs pour CVE-2020-7240.
CVE-2022-1760,IT-02795,TARGETS,0.76,Isoler IT-02795 et appliquer les correctifs pour CVE-2022-1760.
T3663,IT-03987,TARGETS,0.62,Isoler IT-03987 et appliquer les correctifs pour T3663.
CVE-2020-4702,IT-05086,TARGETS,0.52,Isoler IT-05086 et appliquer les correctifs pour CVE-2020-4702.
CVE-2020-5608,IT-00025,TARGETS,0.84,Isoler IT-00025 et appliquer les correctifs pour CVE-2020-5608.
CVE-2024-6680,IT-01794,TARGETS,0.96,Isoler IT-01794 et appliquer les correctifs pour CVE-2024-6680.
CVE-2023-9030,IT-00828,TARGETS,0.93,Isoler IT-00828 et appliquer les correctifs pour CVE-2023-9030.
CVE-2022-7016,IT-09700,TARGETS,0.72,Isoler IT-09700 et appliquer les correctifs pour CVE-2022-7016.
CVE-2022-1497,IT-00882,TARGETS,0.71,Isoler IT-00882 et appliquer les correctifs pour CVE-2022-1497.
CVE-2020-6394,IT-01978,TARGETS,0.64,Isoler IT-01978 et appliquer les correctifs pour CVE-2020-6394.
T1128,IT-05471,TARGETS,0.69,Isoler IT-05471 et appliquer les correctifs pour T1128.
CVE-2020-9439,IT-04296,TARGETS,0.96,Isoler IT-04296 et appliquer les correctifs pour CVE-2020-9439.
CVE-2023-1736,IT-07660,TARGETS,0.92,Isoler IT-07660 et appliquer les correctifs pour CVE-2023-1736.
T6420,IT-06328,TARGETS,0.51,Isoler IT-06328 et appliquer les correctifs pour T6420.
T7711,IT-02153,TARGETS,0.67,Isoler IT-02153 et appliquer les correctifs pour T7711.
T4558,IT-01862,TARGETS,0.64,Isoler IT-01862 et appliquer les correctifs pour T4558.
